entity_id,name,layer,entity_type,value_chain_seat,exposure_0_100,preparedness_0_100,margin_of_safety,quadrant
aegis-london-1225,AEGIS London / Lloyd's Syndicate 1225,1,lloyds_syndicate,carrier,58.5,60.0,1.5,whitespace
aig-uk,AIG UK Limited,1,insurer,carrier,57.1,70.0,12.9,whitespace
allianz-agcs,Allianz Commercial (AGCS),1,insurer,carrier,65.2,80.0,14.8,earning_it
allied-world-2232,Allied World / Lloyd's Syndicate 2232,1,lloyds_syndicate,carrier,51.0,40.0,-11.0,sidelined
altelium,Altelium,2,mga,mga,62.6,90.0,27.4,earning_it
apollo-1969,Apollo Syndicate Management / Lloyd's Syndicate 1969,1,lloyds_syndicate,carrier,48.7,51.3,2.6,sidelined
arbol,Arbol,2,mga,mga,50.8,90.0,39.2,whitespace
arch-re,Arch Re,4,reinsurer,reinsurer,49.9,55.0,5.1,whitespace
ark-4020,Ark Syndicate Management / Lloyd's Syndicate 4020,1,lloyds_syndicate,carrier,70.2,45.0,-25.2,exposed
aspen,Aspen Insurance,1,lloyds_syndicate,carrier,56.9,65.0,8.1,whitespace
asset-ark,Ark Data Centres,3,data_centre,asset,48.2,56.2,8.0,whitespace
asset-aws-london-slough,AWS London Data Centres — West London / Slough,3,data_centre,asset,44.2,52.5,8.3,whitespace
asset-bloomberg-london-dc,"Bloomberg Data Centre — Greenwich View Place, London",3,data_centre,asset,57.8,52.5,-5.3,whitespace
asset-bt-adastral-park-ipswich,BT Adastral Park — Martlesham / Ipswich DC Cluster,3,data_centre,asset,56.8,57.5,0.7,whitespace
asset-coalburn-2-bess,"Coalburn 2 BESS — South Lanarkshire, Scotland",3,storage_asset,asset,77.5,27.5,-50.0,exposed
asset-cottam-solar-bess,Cottam Solar + BESS — Nottinghamshire,3,energy_asset,asset,87.5,35.0,-52.5,exposed
asset-culham-aigz,Culham AI Growth Zone,3,data_centre,asset,63.0,71.2,8.2,earning_it
asset-dogger-bank-wind,Dogger Bank Wind Farm — North Sea,3,energy_asset,asset,82.8,47.5,-35.3,exposed
asset-east-anglia-offshore-wind,East Anglia Offshore Wind — North Sea,3,energy_asset,asset,89.0,47.5,-41.5,exposed
asset-field-auchteraw-bess,"Field Energy — Auchteraw BESS (Fort Augustus, Scotland)",3,storage_asset,asset,86.2,42.5,-43.7,exposed
asset-fluence-holes-bay-dorset,"FRV (Fotowatio) / Harmony Energy — Holes Bay BESS, Dorset",3,storage_asset,asset,82.8,42.5,-40.3,exposed
asset-google-waltham-cross,"Google Data Centre — Waltham Cross, Hertfordshire",3,data_centre,asset,60.2,52.5,-7.7,whitespace
asset-gresham-house-thurcroft-bess,"Gresham House Energy Storage — Thurcroft BESS (Rotherham, South Yorkshire)",3,storage_asset,asset,85.2,47.5,-37.7,exposed
asset-harmony-battery-cottingham-2,"Harmony Energy — Pillswood BESS Phase 2 (Cottingham, East Yorkshire)",3,storage_asset,asset,91.3,47.5,-43.8,exposed
asset-hornsea-wind-farm,Hornsea Wind Farm — North Sea,3,energy_asset,asset,80.2,47.5,-32.7,exposed
asset-kao-harlow,Kao Data — Harlow Campus,3,data_centre,asset,59.9,56.2,-3.7,whitespace
asset-keadby-gas-peaker,Keadby Gas Peaker — North Lincolnshire,3,energy_asset,asset,75.5,52.5,-23.0,earning_it
asset-latos-bridgend,Latos Data Centres — Bridgend,3,data_centre,asset,52.8,30.0,-22.8,sidelined
asset-microsoft-newport-wales,"Microsoft Data Centre — Newport / Imperial Park, Wales",3,data_centre,asset,59.2,52.5,-6.7,whitespace
asset-moray-west-offshore-wind,Moray West Offshore Wind — Scotland,3,energy_asset,asset,71.2,42.5,-28.7,exposed
asset-oracle-cloud-region-uk,Oracle Cloud — UK Sovereign Region (London & Newport),3,data_centre,asset,49.2,52.5,3.3,whitespace
asset-pivot-power-energy-superhub-oxford,"Pivot Power (EDF) — Energy Superhub Oxford BESS (Cowley, Oxford)",3,storage_asset,asset,85.2,47.5,-37.7,exposed
asset-pure-dc-croydon,"Pure Data Centres — Park Royal, West London",3,data_centre,asset,60.2,41.2,-19.0,sidelined
asset-statera-carrington-bess,"Statera Energy — Carrington Storage BESS (Trafford, Greater Manchester)",3,storage_asset,asset,93.8,41.2,-52.6,exposed
asset-sunnica-energy-farm,Sunnica Energy Farm — Cambridgeshire / Suffolk,3,energy_asset,asset,88.0,30.0,-58.0,exposed
asset-viking-wind-farm-shetland,"Viking Wind Farm — Shetland, Scotland",3,energy_asset,asset,71.2,47.5,-23.7,exposed
atrium-609,Atrium Underwriters / Lloyd's Syndicate 609,1,lloyds_syndicate,carrier,40.9,56.2,15.3,whitespace
aviva,Aviva,1,insurer,carrier,76.8,51.3,-25.5,exposed
axa-climate,AXA Climate,2,mga,mga,50.8,95.0,44.2,whitespace
axa-xl,AXA XL,1,insurer,carrier,50.5,65.0,14.5,whitespace
axis-1686,AXIS Capital / Lloyd's Syndicate 1686 (and Energy Transition Syndicate 2050),1,lloyds_syndicate,carrier,42.1,81.2,39.1,whitespace
beat-4242,Beat Capital Partners / Lloyd's Syndicate 4242 (Horace Energy),1,lloyds_syndicate,carrier,63.7,45.0,-18.7,exposed
beazley,Beazley,1,lloyds_syndicate,carrier,43.0,75.0,32.0,whitespace
bhsi-uk,Berkshire Hathaway Specialty Insurance (UK),1,insurer,carrier,65.3,50.0,-15.3,exposed
brit,Brit Insurance,1,lloyds_syndicate,carrier,49.4,65.0,15.6,whitespace
canopius,Canopius,1,lloyds_syndicate,carrier,68.2,70.0,1.8,earning_it
chaucer-1084,Chaucer / Lloyd's Syndicate 1084,1,lloyds_syndicate,carrier,39.8,80.0,40.2,whitespace
chubb,Chubb,1,insurer,carrier,48.7,40.0,-8.7,sidelined
cleve-hill-solar-park-kent,"Cleve Hill Solar Park — Graveney, Kent, England",3,energy_asset,asset,74.0,33.8,-40.2,exposed
cna-hardy-382,CNA Hardy / Lloyd's Syndicate 382,1,lloyds_syndicate,carrier,60.1,50.0,-10.1,sidelined
coalburn-1-bess-south-lanarkshire,"Coalburn 1 BESS — South Lanarkshire, Scotland",3,storage_asset,asset,95.9,33.8,-62.1,exposed
convex,Convex,1,insurer,carrier,64.4,43.8,-20.6,exposed
cyrusone-lon6-iver-heath,"CyrusOne LON6 — Iver Heath, Buckinghamshire",3,data_centre,asset,52.8,47.5,-5.3,sidelined
demex,Demex,2,mga,mga,52.2,70.0,17.8,whitespace
descartes-underwriting,Descartes Underwriting,2,mga,mga,60.8,93.8,33.0,earning_it
digital-realty-interxion-london,Digital Realty / Interxion — London (Brick Lane & Docklands),3,data_centre,asset,56.4,52.5,-3.9,whitespace
equinix-london-ld-series,Equinix London — LD-series IBX (Slough & Docklands),3,data_centre,asset,51.5,52.5,1.0,whitespace
everest-2786,Everest Syndicate 2786,1,lloyds_syndicate,carrier,58.5,40.0,-18.5,sidelined
fidelis-mgu,Fidelis (MGU),1,insurer,carrier,64.4,50.0,-14.4,exposed
fidelis-re,Fidelis Re,4,reinsurer,reinsurer,53.2,55.0,1.8,whitespace
floodflash,FloodFlash,2,mga,mga,51.4,71.3,19.9,whitespace
gate-burton-energy-park-lincolnshire,"Gate Burton Energy Park — West Lindsey, Lincolnshire, England",3,energy_asset,asset,86.2,26.2,-60.0,exposed
gcube,GCube Insurance (Tokio Marine GX),2,mga,mga,79.6,75.0,-4.6,earning_it
global-switch-london-docklands,Global Switch — London Docklands (East India Dock),3,data_centre,asset,66.5,41.2,-25.3,exposed
hannover-re,Hannover Re,4,reinsurer,reinsurer,54.8,80.0,25.2,whitespace
harmony-energy-pillswood-hull,Harmony Energy Pillswood BESS — Cottingham near Hull,3,storage_asset,asset,93.1,28.7,-64.4,exposed
hdi-global-uk,HDI Global SE (UK & Ireland branch),1,insurer,carrier,75.1,56.2,-18.9,earning_it
