entity_id,name,entity_type,lloyds_id,priority,fsr_rating,fsr_scale,scr_coverage_pct,fsr_source,scr_source,total_gwp,energy_power_gwp,datacentre_tech_gwp,currency,lines_counted,book_source,as_of
axa-xl,AXA XL,insurer,,1-prototype,,sp,,,,19383,,,EUR,,https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com/fd85b507-f97f-4ac5-861b-6b2b90e1c601_AXA_URD2024_EN.pdf,2024-12-31
beazley,Beazley,lloyds_syndicate,623/2623,1-prototype,,ambest,,,,6164.1,,,USD,,https://www.beazley.com/globalassets/ir-documents/annual-reports/annual-report-2024/annual-report-2024.pdf,2024-12-31
chubb,Chubb,insurer,,1-prototype,,sp,,,,54842,,,USD,,https://www.sec.gov/Archives/edgar/data/0000896159/000089615926000005/cb-20251231.htm,2025-12-31
hiscox-london-market,Hiscox London Market,lloyds_syndicate,33,1-prototype,,ambest,,,,1249.6,,,USD,,https://www.hiscoxgroup.com/news/press-releases/2026/25-02-26,2025-12-31
munich-re,Munich Re,reinsurer,,1-prototype,,sp,,,,71631,,,EUR,,https://www.munichre.com/content/dam/munichre/mrwebsiteslaunches/2025-annual-report/MunichRe-Group-Annual-Report-2025-en.pdf,2025-12-31
zurich,Zurich Insurance,insurer,,1-prototype,,sp,,,,50400,,,USD,,https://www.zurich.com/annual-report-2025,2025-12-31
allianz-agcs,Allianz Commercial (AGCS),insurer,,2-scaleup,,sp,,,,,,,EUR,,,
arch-re,Arch Re,reinsurer,,2-scaleup,,ambest,,,,,,,USD,,,
aspen,Aspen Insurance,lloyds_syndicate,4711,2-scaleup,,ambest,,,,,,,USD,,,
aviva,Aviva,insurer,,2-scaleup,,ambest,,,,,,,GBP,,,
brit,Brit Insurance,lloyds_syndicate,2987,2-scaleup,,ambest,,,,,,,GBP,,,
canopius,Canopius,lloyds_syndicate,4444,2-scaleup,,ambest,,,,,,,GBP,,,
convex,Convex,insurer,,2-scaleup,,ambest,,,,,,,USD,,,
fidelis-mgu,Fidelis,insurer,,2-scaleup,,ambest,,,,,,,USD,,,
fidelis-re,Fidelis Re,reinsurer,,2-scaleup,,ambest,,,,,,,USD,,,
hannover-re,Hannover Re,reinsurer,,2-scaleup,,sp,,,,,,,EUR,,,
liberty-specialty,Liberty Specialty Markets,lloyds_syndicate,4472,2-scaleup,,ambest,,,,,,,USD,,,
markel,Markel International,lloyds_syndicate,3000,2-scaleup,,ambest,,,,,,,USD,,,
ms-amlin,MS Amlin,lloyds_syndicate,2001,2-scaleup,,ambest,,,,,,,GBP,,,
qbe-europe,QBE Europe,insurer,,2-scaleup,,sp,,,,,,,EUR,,,
renaissance-re,RenaissanceRe,reinsurer,,2-scaleup,,ambest,,,,,,,USD,,,
rsa-intact,RSA (Intact),insurer,,2-scaleup,,sp,,,,,,,GBP,,,
scor,SCOR,reinsurer,,2-scaleup,,ambest,,,,,,,EUR,,,
swiss-re-corso,Swiss Re Corporate Solutions,reinsurer,,2-scaleup,,sp,,,,,,,USD,,,
tokio-marine-kiln,Tokio Marine Kiln,lloyds_syndicate,510,2-scaleup,,ambest,,,,,,,GBP,,,
