entity_id,name,layer,entity_type,exposure,preparedness,margin_of_safety,quadrant,confidence,calibration,exposure_latent,exposure_det,prep_latent,prep_det
beazley,Beazley,1,lloyds_syndicate,50.5,80.0,29.5,whitespace,medium,median exp>=60.8 prep>=55.0,42.5,72.2,80.0,
hiscox-london-market,Hiscox London Market,1,insurer,66.0,45.0,-21.0,exposed,medium,median exp>=60.8 prep>=55.0,57.5,72.2,45.0,
axa-xl,AXA XL,1,insurer,58.0,70.0,12.0,whitespace,medium,median exp>=60.8 prep>=55.0,50.0,72.2,70.0,
chubb,Chubb,1,insurer,56.2,45.0,-11.2,sidelined,medium,median exp>=60.8 prep>=55.0,38.8,72.2,45.0,
zurich,Zurich Insurance,1,insurer,64.8,70.0,5.2,earning_it,medium,median exp>=60.8 prep>=55.0,56.2,72.2,70.0,
munich-re,Munich Re,1,insurer,61.0,90.0,29.0,earning_it,medium,median exp>=60.8 prep>=55.0,52.5,72.2,90.0,
parametrix,Parametrix,2,mga,62.3,95.0,32.7,earning_it,medium,median exp>=60.8 prep>=55.0,71.2,61.1,95.0,
descartes-underwriting,Descartes Underwriting,2,mga,60.8,93.8,33.0,earning_it,medium,median exp>=60.8 prep>=55.0,61.3,72.2,93.8,
howden,Howden,2,broker,57.5,75.0,17.5,whitespace,medium,median exp>=60.8 prep>=55.0,57.5,,75.0,
marsh,Marsh,2,broker,55.0,71.2,16.2,whitespace,medium,median exp>=60.8 prep>=55.0,55.0,,71.2,
wtw,WTW (Willis Towers Watson),2,broker,55.0,66.2,11.2,whitespace,medium,median exp>=60.8 prep>=55.0,55.0,,66.2,
asset-kao-harlow,Kao Data — Harlow Campus,3,data_centre,60.6,56.2,-4.4,whitespace,medium,median exp>=60.8 prep>=55.0,62.5,58.3,56.2,
asset-ark,Ark Data Centres,3,data_centre,48.6,56.2,7.6,whitespace,medium,median exp>=60.8 prep>=55.0,42.5,44.4,56.2,
asset-latos-bridgend,Latos Data Centres — Bridgend,3,data_centre,53.7,30.0,-23.7,sidelined,low,median exp>=60.8 prep>=55.0,67.5,44.4,30.0,
asset-culham-aigz,Culham AI Growth Zone,3,data_centre,63.9,71.2,7.3,earning_it,low,median exp>=60.8 prep>=55.0,61.3,44.4,71.2,
swiss-re-corso,Swiss Re Corporate Solutions,4,reinsurer,46.2,100.0,53.8,whitespace,medium,median exp>=60.8 prep>=55.0,28.8,72.2,100.0,
scor,SCOR,4,reinsurer,49.9,75.0,25.1,whitespace,medium,median exp>=60.8 prep>=55.0,32.5,72.2,75.0,
hannover-re,Hannover Re,4,reinsurer,54.8,80.0,25.2,whitespace,medium,median exp>=60.8 prep>=55.0,46.2,72.2,80.0,
