entity_id,name,layer,entity_type,exposure,preparedness,margin_of_safety,quadrant,confidence,calibration
beazley,Beazley,1,lloyds_syndicate,46.2,80.0,33.8,whitespace,medium,median exp>=50.0 prep>=70.0
hiscox-london-market,Hiscox London Market,1,insurer,46.2,50.0,3.8,sidelined,low,median exp>=50.0 prep>=70.0
axa-xl,AXA XL,1,insurer,42.5,70.0,27.5,whitespace,low,median exp>=50.0 prep>=70.0
chubb,Chubb,1,insurer,35.0,45.0,10.0,sidelined,low,median exp>=50.0 prep>=70.0
zurich,Zurich Insurance,1,insurer,60.0,70.0,10.0,earning_it,medium,median exp>=50.0 prep>=70.0
munich-re,Munich Re,1,insurer,56.2,90.0,33.8,earning_it,medium,median exp>=50.0 prep>=70.0
parametrix,Parametrix,2,mga,71.2,95.0,23.8,earning_it,medium,median exp>=50.0 prep>=70.0
descartes-underwriting,Descartes Underwriting,2,mga,61.3,93.8,32.5,earning_it,medium,median exp>=50.0 prep>=70.0
howden,Howden,2,broker,57.5,75.0,17.5,earning_it,medium,median exp>=50.0 prep>=70.0
marsh,Marsh,2,broker,55.0,71.2,16.2,earning_it,medium,median exp>=50.0 prep>=70.0
wtw,WTW (Willis Towers Watson),2,broker,48.8,66.2,17.4,sidelined,medium,median exp>=50.0 prep>=70.0
asset-kao-harlow,Kao Data — Harlow Campus,3,data_centre,50.0,56.2,6.2,exposed,medium,median exp>=50.0 prep>=70.0
asset-ark,Ark Data Centres,3,data_centre,36.2,56.2,20.0,sidelined,low,median exp>=50.0 prep>=70.0
asset-latos-bridgend,Latos Data Centres — Bridgend,3,data_centre,48.8,30.0,-18.8,sidelined,low,median exp>=50.0 prep>=70.0
asset-culham-aigz,Culham AI Growth Zone,3,data_centre,61.3,71.2,9.9,earning_it,low,median exp>=50.0 prep>=70.0
